Loss,Loss,Loss,Win,Win,Loss,,,,,Loss,Loss
LED,MOOPHISTO,AARON CHAPMAN,LED,DAVID KHAN,HIPO,,,,,MALACIOUSMAWLOC,LORDSHISHIO
Win,Win,Win,Loss,Loss,Win,,,,,Win,Win
,,,,,,,,,,,
19,19,19,19,19,19,,,,,,19
ECHO3OFCLUBS,SHADYBUFFALO,MOOPHISTO,NIGHT,ALGEROTH,LORDSHISHIO,,,,,,OEKLAMPADIUS
Win,Win,Win,Loss,Win,Win,,,,,,Win
LIAM KIRKMAN,AARON CHAPMAN,JGH128G,LEVITICUSTARD,CHINY,REVANCHIST,,,,,,SEBASTIAN VAN UYTFANGE
Loss,Loss,Loss,Win,Loss,Loss,,,,,,Loss
,,,,,,,,,,,
20,20,20,20,20,20,,,,,,
AARON CHAPMAN,THE86,RYAN0770,FERAL,SEVANS,AARON CHAPMAN,,,,,,
Loss,Win,Win,Win,Loss,Loss,,,,,,
STEVDAV,PARKERSIMPSONARTWORK,STEVDAV,ED LOTTS,TARKA,TARKA,,,,,,
Win,Loss,Loss,Loss,Win,Win,,,,,,
,,,,,,,,,,,
21,21,21,21,21,21,,,,,,
OJ HEMMINGS,DOUBLE TMANIA,SHADYBUFFALO,DABLAZE,MAKVAG,SHADYBUFFALO,,,,,,
Loss,Loss,Win,Loss,Win,Loss,,,,,,
DABLAZE,HANZ HAS,ECHO3OFCLUBS,REVANCHIST,LANZA,ERIK,,,,,,
Win,Win,Loss,Win,Loss,Win,,,,,,
,,,,,,,,,,,
22,22,22,22,22,22,,,,,,
DOUBLE TMANIA,LED,LED,THOMAS VIENNEAU,BYRUS,ROYZSTON,,,,,,
Loss,Win,Loss,Loss,Win,Loss,,,,,,
KIKI,KIKI,NIGHT,STEVDAV,VONTZ,BYRUS,,,,,,
Win,Loss,Win,Win,Loss,Win,,,,,,
,,,,,,,,,,,
23,23,23,23,23,23,,,,,,
MAJOBASIL,ECHO3OFCLUBS,ERIK,PARKERSIMPSONARTWORK,EARDRON,ED LOTTS,,,,,,
Win,Win,Win,Loss,Win,Loss,,,,,,
ED LOTTS,RAVEN REPLICAS,DABLAZE,LIAM KIRKMAN,STRMTRPR81,ECHO3OFCLUBS,,,,,,
Loss,Loss,Loss,Win,Loss,Win,,,,,,
,,,,,,,,,,,
24,24,24,24,24,24,,,,,,
